Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.051836,1.4626E-05,-0.020048,0,0,0,6.4522,0.064582,5.0974E-07,-6.656E-08,0.09925,1.388E-09,0.086797,0,0,0,0,0,0,package://mako urdf ass/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mako urdf ass/meshes/base_link.STL,,mako urdf prt-1;T200-THRUSTER-R1-CW-1-solid3[1]-2;T200-THRUSTER-R1-CW-1-solid2[1]-1;T200-THRUSTER-R1-CW-1-solid2[1]-4;T200-THRUSTER-R1-CW-1-solid3[1]-5;T200-THRUSTER-R1-CW-1-solid3[1]-6;T200-THRUSTER-R1-CW-1-solid2[1]-5;T200-THRUSTER-R1-CW-1-solid3[1]-4;T200-THRUSTER-R1-CW-1-solid2[1]-3;T200-THRUSTER-R1-CW-1-solid3[1]-3;T200-THRUSTER-R1-CW-1-solid2[1]-2;T200-THRUSTER-R1-CW-1-solid3[1]-7;T200-THRUSTER-R1-CW-1-solid2[1]-6;bar 30 urdf-1;ZED2i v1.step-1,center_body_corrd,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
t1,-0.032529,0.032528,3.2535E-07,0,0,0,0.0079548,3.0685E-06,-6.5079E-07,-3.4602E-10,3.0685E-06,-3.5563E-10,2.4169E-06,0,0,0,0,0,0,package://mako urdf ass/meshes/t1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mako urdf ass/meshes/t1.STL,,T200 PROPELLER CCW-2-solid1[1]-1,t1_corrd,Axis1,t1_link,continuous,0.20715,-0.1317,-0.101,3.1416,0,0,base_link,0.70711,-0.70711,0,0.5,360,,,,,0,0.01,,,,
t2,-0.032529,-0.032528,-3.4768E-07,0,0,0,0.0079548,3.0685E-06,6.5082E-07,3.8056E-10,3.0685E-06,-3.9073E-10,2.417E-06,0,0,0,0,0,0,package://mako urdf ass/meshes/t2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mako urdf ass/meshes/t2.STL,,T200 PROPELLER CCW-2-solid1[1]-2,t2_corrd,Axis2,t2_link,continuous,0.20715,0.1317,-0.101,3.1416,0,0,base_link,0.70711,0.70711,0,0.5,360,,,,,0,0.01,,,,
t3,0.0325288245147649,0.0325280098382028,-3.47772339148733E-07,0,0,0,0.0079547792841331,3.06849419280936E-06,6.50821975179877E-07,-3.80614333311536E-10,3.06852483980448E-06,3.90750803147647E-10,2.41696531201662E-06,0,0,0,0,0,0,package://mako urdf ass/meshes/t3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mako urdf ass/meshes/t3.STL,,T200 PROPELLER CCW-2-solid1[1]-4,t3_cordd,Axis3,t3_link,continuous,-0.089461,-0.1317,-0.101,3.1416,0,0,base_link,-0.70711,-0.70711,0,0.5,360,,,,,0,0.01,,,,
t4,0.0325280059093593,-0.0325288292291421,-3.46427149855444E-07,0,0,0,0.00795478582297372,3.0685280246516E-06,-6.50822927429608E-07,3.90377807885477E-10,3.06849718742948E-06,3.80333197050017E-10,2.41696735294394E-06,0,0,0,0,0,0,package://mako urdf ass/meshes/t4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mako urdf ass/meshes/t4.STL,,T200 PROPELLER CCW-2-solid1[1]-3,t4_corrd,Axis4,t4_link,continuous,-0.089461,0.1317,-0.101,3.1416,0,0,base_link,-0.70711,0.70711,0,0.5,360,,,,,0,0.01,,,,
t5,-4.53925421139978E-07,-2.50085774311515E-07,0.0460020293266059,0,0,0,0.0079546965911234,2.41768063364837E-06,5.46478155698135E-10,1.30435212593795E-11,2.41693583754762E-06,1.13055451178323E-11,3.71929458613565E-06,0,0,0,0,0,0,package://mako urdf ass/meshes/t5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mako urdf ass/meshes/t5.STL,,T200 PROPELLER CCW-2-solid1[1]-5,t5_corrd,Axis5,t5_link,continuous,0.058843,-0.181,0.046534,3.1416,0,0,base_link,0,0,-1,0.5,360,,,,,0,0.01,,,,
t6,4.53792797561192E-07,2.50782619781731E-07,0.0460020292288368,0,0,0,0.00795469608028535,2.41768046011864E-06,5.46536884862752E-10,-1.30149167063348E-11,2.41693577190394E-06,-1.1290654701296E-11,3.71929437651949E-06,0,0,0,0,0,0,package://mako urdf ass/meshes/t6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mako urdf ass/meshes/t6.STL,,T200 PROPELLER CCW-2-solid1[1]-6,t6_corrd,Axis6,t6_link,continuous,0.058843,0.181,0.046534,3.1416,0,0,base_link,0,0,-1,0.5,360,,,,,0,0.01,,,,
